Simulation Started....
Time = 14 || Event 11 || Network Event Priority: 1
Time = 15 || Event 1 || I/O Event Priority: 1
Time = 20 || Event 12 || CPU Event Priority: 1
Time = 28 || Event 28 || Network Event Priority: 1
Time = 31 || Event 32 || I/O Event Priority: 1
Time = 36 || Event 42 || CPU Event Priority: 1
Time = 41 || Event 44 || Network Event Priority: 1
Time = 50 || Event 50 || I/O Event Priority: 1
Time = 55 || Event 48 || CPU Event Priority: 1
Time = 55 || Event 56 || Network Event Priority: 1
Time = 68 || Event 72 || Network Event Priority: 1
Time = 69 || Event 40 || I/O Event Priority: 1
Time = 72 || Event 71 || CPU Event Priority: 1
Time = 84 || Event 76 || Network Event Priority: 1
Time = 85 || Event 86 || I/O Event Priority: 1
Time = 90 || Event 70 || CPU Event Priority: 1
Time = 97 || Event 104 || I/O Event Priority: 1
Time = 98 || Event 99 || Network Event Priority: 1
Time = 103 || Event 107 || CPU Event Priority: 1
Time = 111 || Event 100 || I/O Event Priority: 1
Time = 113 || Event 117 || Network Event Priority: 1
Time = 119 || Event 122 || CPU Event Priority: 1
Time = 124 || Event 132 || Network Event Priority: 1
Time = 128 || Event 78 || I/O Event Priority: 1
Time = 137 || Event 139 || CPU Event Priority: 1
Time = 140 || Event 140 || Network Event Priority: 1
Time = 141 || Event 142 || I/O Event Priority: 1
Time = 151 || Event 147 || CPU Event Priority: 1
Time = 152 || Event 152 || Network Event Priority: 1
Time = 153 || Event 156 || I/O Event Priority: 1
Time = 161 || Event 169 || CPU Event Priority: 1
Time = 163 || Event 165 || Network Event Priority: 1
Time = 171 || Event 136 || I/O Event Priority: 1
Time = 173 || Event 182 || Network Event Priority: 1
Time = 177 || Event 175 || CPU Event Priority: 1
Time = 183 || Event 176 || I/O Event Priority: 1
Time = 190 || Event 188 || Network Event Priority: 1
Time = 192 || Event 191 || CPU Event Priority: 1
Time = 196 || Event 199 || I/O Event Priority: 1
Time = 200 || Event 185 || Network Event Priority: 1
Time = 203 || Event 168 || CPU Event Priority: 1
Time = 213 || Event 205 || I/O Event Priority: 1
Time = 219 || Event 217 || CPU Event Priority: 1
Time = 219 || Event 218 || Network Event Priority: 1
Time = 231 || Event 234 || Network Event Priority: 1
Time = 232 || Event 219 || I/O Event Priority: 1
Time = 236 || Event 239 || CPU Event Priority: 1
Time = 241 || Event 251 || Network Event Priority: 1
Time = 247 || Event 197 || I/O Event Priority: 1
Time = 252 || Event 249 || CPU Event Priority: 1
Time = 259 || Event 264 || I/O Event Priority: 1
Time = 260 || Event 259 || Network Event Priority: 1
Time = 269 || Event 268 || CPU Event Priority: 1
Time = 277 || Event 273 || Network Event Priority: 1
Time = 278 || Event 279 || I/O Event Priority: 1
Time = 288 || Event 282 || CPU Event Priority: 1
Time = 288 || Event 289 || Network Event Priority: 1
Time = 296 || Event 296 || I/O Event Priority: 1
Time = 303 || Event 306 || CPU Event Priority: 1
Time = 307 || Event 299 || Network Event Priority: 1
Time = 311 || Event 307 || I/O Event Priority: 1
Time = 321 || Event 325 || Network Event Priority: 1
Time = 322 || Event 322 || CPU Event Priority: 1
Time = 324 || Event 319 || I/O Event Priority: 1
Time = 333 || Event 341 || CPU Event Priority: 1
Time = 338 || Event 334 || I/O Event Priority: 1
Time = 340 || Event 339 || Network Event Priority: 1
Time = 347 || Event 351 || CPU Event Priority: 1
Time = 353 || Event 357 || I/O Event Priority: 1
Time = 356 || Event 350 || Network Event Priority: 1
Time = 365 || Event 363 || CPU Event Priority: 1
Time = 369 || Event 368 || I/O Event Priority: 1
Time = 370 || Event 372 || Network Event Priority: 1
Time = 378 || Event 340 || CPU Event Priority: 1
Time = 380 || Event 346 || I/O Event Priority: 1
Time = 380 || Event 389 || Network Event Priority: 1
Time = 391 || Event 400 || Network Event Priority: 1
Time = 394 || Event 387 || CPU Event Priority: 1
Time = 399 || Event 393 || I/O Event Priority: 1
Time = 405 || Event 410 || Network Event Priority: 1
Time = 413 || Event 405 || CPU Event Priority: 1
Time = 417 || Event 404 || I/O Event Priority: 1
Time = 419 || Event 420 || Network Event Priority: 1
Time = 431 || Event 431 || CPU Event Priority: 1
Time = 436 || Event 433 || I/O Event Priority: 1
Time = 437 || Event 435 || Network Event Priority: 1
Time = 446 || Event 438 || I/O Event Priority: 1
Time = 447 || Event 450 || CPU Event Priority: 1
Time = 448 || Event 449 || Network Event Priority: 1
Time = 458 || Event 464 || I/O Event Priority: 1
Time = 461 || Event 439 || CPU Event Priority: 1
Time = 461 || Event 466 || Network Event Priority: 1
Time = 471 || Event 476 || CPU Event Priority: 1
Time = 474 || Event 480 || Network Event Priority: 1
Time = 475 || Event 475 || I/O Event Priority: 1
Time = 485 || Event 458 || Network Event Priority: 1
Time = 490 || Event 425 || CPU Event Priority: 1
Time = 493 || Event 493 || I/O Event Priority: 1
Time = 503 || Event 508 || CPU Event Priority: 1
Time = 504 || Event 511 || I/O Event Priority: 1
Time = 504 || Event 430 || Network Event Priority: 1
Time = 519 || Event 520 || I/O Event Priority: 1
Time = 521 || Event 521 || CPU Event Priority: 1
Time = 522 || Event 509 || Network Event Priority: 1
Time = 532 || Event 536 || CPU Event Priority: 1
Time = 532 || Event 540 || Network Event Priority: 1
Time = 535 || Event 531 || I/O Event Priority: 1
Time = 545 || Event 549 || CPU Event Priority: 1
Time = 550 || Event 555 || I/O Event Priority: 1
Time = 550 || Event 551 || Network Event Priority: 1
Time = 560 || Event 566 || Network Event Priority: 1
Time = 561 || Event 502 || CPU Event Priority: 1
Time = 564 || Event 565 || I/O Event Priority: 1
Time = 575 || Event 583 || I/O Event Priority: 1
Time = 577 || Event 572 || CPU Event Priority: 1
Time = 577 || Event 579 || Network Event Priority: 1
Time = 588 || Event 596 || CPU Event Priority: 1
Time = 592 || Event 575 || I/O Event Priority: 1
Time = 594 || Event 589 || Network Event Priority: 1
Time = 602 || Event 612 || I/O Event Priority: 1
Time = 607 || Event 587 || CPU Event Priority: 1
Time = 613 || Event 603 || Network Event Priority: 1
Time = 620 || Event 611 || I/O Event Priority: 1
Time = 622 || Event 616 || CPU Event Priority: 1
Time = 624 || Event 631 || Network Event Priority: 1
Time = 630 || Event 632 || I/O Event Priority: 1
Time = 638 || Event 642 || CPU Event Priority: 1
Time = 643 || Event 643 || Network Event Priority: 1
Time = 645 || Event 649 || I/O Event Priority: 1
Time = 648 || Event 637 || CPU Event Priority: 1
Time = 655 || Event 658 || I/O Event Priority: 1
Time = 659 || Event 651 || Network Event Priority: 1
Time = 663 || Event 659 || CPU Event Priority: 1
Time = 668 || Event 656 || I/O Event Priority: 1
Time = 672 || Event 626 || Network Event Priority: 1
Time = 680 || Event 688 || I/O Event Priority: 1
Time = 682 || Event 613 || CPU Event Priority: 1
Time = 682 || Event 625 || Network Event Priority: 1
Time = 690 || Event 679 || I/O Event Priority: 1
Time = 697 || Event 598 || Network Event Priority: 1
Time = 700 || Event 699 || CPU Event Priority: 1
Time = 708 || Event 703 || I/O Event Priority: 1
Time = 709 || Event 710 || Network Event Priority: 1
